Record_Id,U_Name,U_Id,U_Age,U_Gender,U_IsWorking,U_Time,U_Weekday,U_Weekend,P_Name,P_Id,P_Category,P_Channel,P_Genre,P_SubGenre,P_IsCastFamous,P_Weekend,P_Weekday,P_3MonthSeries,P_3YearSeries,P_Time,P_Rating
1024,User102,102,21,Female,0,Afternoon,0,1,Prg1430,1430,GEC,E_Tv,travel,-,0,0,1,0,0,Afternoon,5
1025,User102,102,21,Female,0,Afternoon,0,1,Prg1178,1178,Sports,Sony_six,special_feature,-,0,0,1,1,0,Night,4
1026,User102,102,21,Female,0,Afternoon,0,1,Prg1490,1490,Music,B4U,drama,-,0,0,1,1,1,Evening,3
1027,User102,102,21,Female,0,Afternoon,0,1,Prg1119,1119,LifeStyle,Turbo,health_and_well_being,-,1,0,1,0,0,Morning,3
1028,User102,102,21,Female,0,Afternoon,0,1,Prg1212,1212,Sports,Neo_sports,martial_Arts,-,1,1,0,0,0,Morning,4
1029,User102,102,21,Female,0,Afternoon,0,1,Prg1045,1045,Infotainment,NDTV_Good_Times,Cooking,-,1,0,1,1,1,Evening,2
1030,User102,102,21,Female,0,Afternoon,0,1,Prg1028,1028,Music,Zetc,drama,-,0,0,1,0,0,Evening,2
1031,User103,103,50,Female,0,Afternoon,0,1,Prg1182,1182,Music,Gemini_Music,Telelost,-,1,0,1,0,0,Evening,4
1032,User103,103,50,Female,0,Afternoon,0,1,Prg1156,1156,Movies,Gemini_Movies,Film/Adventure,-,1,1,1,1,1,Afternoon,3
1033,User103,103,50,Female,0,Afternoon,0,1,Prg1430,1430,GEC,E_Tv,travel,-,0,0,1,0,0,Afternoon,5
1034,User103,103,50,Female,0,Afternoon,0,1,Prg1262,1262,Movies,Star_Movies,Film/Thriller,-,1,1,1,0,0,Afternoon,3
1035,User103,103,50,Female,0,Afternoon,0,1,Prg1304,1304,LifeStyle,Z_Khaana,travel,-,0,0,1,1,0,Night,5
1036,User103,103,50,Female,0,Afternoon,0,1,Prg1123,1123,Kids,pogo,Animation,-,0,1,1,1,1,Afternoon,5
1037,User103,103,50,Female,0,Afternoon,0,1,Prg1091,1091,Movies,Gemini_Movies,Film/Comedy,-,0,0,1,1,0,Night,3
1038,User103,103,50,Female,0,Afternoon,0,1,Prg1131,1131,GEC,Star_Plus,Game_show,-,1,0,1,0,0,Morning,4
1039,User103,103,50,Female,0,Afternoon,0,1,Prg1345,1345,Infotainment,Telebrands,Biography,-,0,1,1,0,0,Evening,1
1040,User103,103,50,Female,0,Afternoon,0,1,Prg1028,1028,Music,Zetc,drama,-,0,0,1,0,0,Evening,2
1041,User103,103,50,Female,0,Afternoon,0,1,Prg1311,1311,Kids,hungama,Music,-,0,0,1,1,1,Afternoon,2
1042,User103,103,50,Female,0,Afternoon,0,1,Prg1085,1085,Religious,TTD,Magazine_programme,-,0,1,1,1,1,Evening,3
1043,User103,103,50,Female,0,Afternoon,0,1,Prg1184,1184,Music,zoom,Request,-,1,0,1,1,1,Afternoon,4
1044,User103,103,50,Female,0,Afternoon,0,1,Prg1184,1184,Music,zoom,Request,-,1,0,1,1,1,Afternoon,4
1045,User103,103,50,Female,0,Afternoon,0,1,Prg1061,1061,Infotainment,NDTV_Good_Times,Cooking,-,0,0,1,1,1,Evening,5
1046,User104,104,52,male,1,Afternoon,1,1,Prg1494,1494,News,N_TV,talk_show,-,0,1,1,1,0,Afternoon,4
1047,User104,104,52,male,1,Afternoon,1,1,Prg1403,1403,Sports,Ten_sports,Racing,-,0,1,0,1,1,Afternoon,4
1048,User104,104,52,male,1,Afternoon,1,1,Prg1139,1139,LifeStyle,Turbo,culture,-,0,0,1,0,0,Night,1
1049,User104,104,52,male,1,Afternoon,1,1,Prg1191,1191,Movies,UTV_Movies,Film/Comedy,-,1,0,1,0,0,Morning,4
1050,User104,104,52,male,1,Afternoon,1,1,Prg1267,1267,Music,M_TV,Filmi,-,1,0,1,1,0,Afternoon,3
1051,User104,104,52,male,1,Afternoon,1,1,Prg1235,1235,Kids,hungama,Entertainment,-,0,0,1,0,0,Evening,3
1052,User104,104,52,male,1,Afternoon,1,1,Prg1437,1437,Sports,DD_sports,Racing,-,1,1,1,1,0,Morning,5
1053,User104,104,52,male,1,Afternoon,1,1,Prg1294,1294,Sports,Star_HD,martial_Arts,-,1,0,1,1,1,Evening,3
1054,User104,104,52,male,1,Afternoon,1,1,Prg1059,1059,Religious,sanskaar,Astrology,-,0,0,1,1,0,Morning,2
1055,User104,104,52,male,1,Afternoon,1,1,Prg1242,1242,Movies,UTV_Movies,Film/Thriller,-,1,0,1,1,0,Morning,3
1056,User104,104,52,male,1,Afternoon,1,1,Prg1284,1284,LifeStyle,Good_Times,culture,-,1,1,0,1,1,Afternoon,3
1057,User104,104,52,male,1,Afternoon,1,1,Prg1265,1265,Music,zoom,Filmi,-,0,1,1,1,1,Afternoon,3
1058,User104,104,52,male,1,Afternoon,1,1,Prg1320,1320,News,Headlines_Today,Special_report,-,0,0,1,1,1,Evening,3
1059,User104,104,52,male,1,Afternoon,1,1,Prg1098,1098,Religious,sanskaar,Award_show,-,0,1,0,0,0,Evening,3
1060,User104,104,52,male,1,Afternoon,1,1,Prg1414,1414,Sports,Neo_sports,badminton,-,0,1,1,1,1,Night,4
1061,User105,105,34,Female,1,Evening,0,1,Prg1085,1085,Religious,TTD,Magazine_programme,-,0,1,1,1,1,Evening,3
1062,User105,105,34,Female,1,Evening,0,1,Prg1211,1211,Sports,Star_sports2,martial_Arts,-,0,1,0,1,0,Afternoon,4
1063,User105,105,34,Female,1,Evening,0,1,Prg1355,1355,Kids,pogo,Entertainment,-,0,1,0,1,1,Afternoon,1
1064,User105,105,34,Female,1,Evening,0,1,Prg1447,1447,News,News_24,Technology,-,1,0,1,1,0,Evening,5
1065,User105,105,34,Female,1,Evening,0,1,Prg1418,1418,Kids,pogo,Animation,-,1,0,1,1,1,Evening,4
1066,User105,105,34,Female,1,Evening,0,1,Prg1486,1486,Religious,OM,Events/festival,-,1,1,0,1,0,Evening,2
1067,User105,105,34,Female,1,Evening,0,1,Prg1114,1114,GEC,E_Tv,Comedy,-,1,1,0,1,0,Morning,3
1068,User105,105,34,Female,1,Evening,0,1,Prg1474,1474,Movies,Star_Movies,Film/Drama,-,1,0,1,1,0,Night,1
1069,User105,105,34,Female,1,Evening,0,1,Prg1456,1456,LifeStyle,Travel_XP,culture,-,1,0,1,1,0,Evening,5
1070,User105,105,34,Female,1,Evening,0,1,Prg1247,1247,GEC,Star_Plus,Reality_show,-,1,0,1,1,1,Evening,3
1071,User105,105,34,Female,1,Evening,0,1,Prg1483,1483,Movies,Maa_Movies,Film/Thriller,-,0,0,1,0,0,Evening,2
1072,User105,105,34,Female,1,Evening,0,1,Prg1189,1189,Kids,nikoledian,Animation,-,1,0,1,1,1,Afternoon,4
1073,User105,105,34,Female,1,Evening,0,1,Prg1349,1349,Sports,Neo_sports,Tennis,-,1,0,1,1,1,Afternoon,1
1074,User105,105,34,Female,1,Evening,0,1,Prg1333,1333,Music,Zetc,Gameshow,-,1,1,0,1,0,Night,1
1075,User105,105,34,Female,1,Evening,0,1,Prg1333,1333,Music,Zetc,Gameshow,-,1,1,0,1,0,Night,1
1076,User106,106,35,male,1,Night,0,1,Prg1414,1414,Sports,Neo_sports,badminton,-,0,1,1,1,1,Night,4
1077,User106,106,35,male,1,Night,0,1,Prg1440,1440,Sports,Star_HD,cricket,-,1,1,1,0,0,Evening,5
1078,User106,106,35,male,1,Night,0,1,Prg1423,1423,Movies,Z_Cinema,Film/crime,-,1,1,1,1,1,Night,5
1079,User106,106,35,male,1,Night,0,1,Prg1323,1323,LifeStyle,Turbo,travel,-,1,1,0,1,0,Night,1
1080,User106,106,35,male,1,Night,0,1,Prg1016,1016,News,N_TV,magazine,-,1,1,1,1,0,Morning,1
1081,User106,106,35,male,1,Night,0,1,Prg1461,1461,Kids,nikoledian,Education,-,1,0,1,1,0,Night,5
1082,User106,106,35,male,1,Night,0,1,Prg1197,1197,Movies,Sony_pix,Film/Horror,-,1,1,0,1,1,Evening,4
1083,User106,106,35,male,1,Night,0,1,Prg1133,1133,Religious,bhakthi,chat_show,-,0,1,1,0,0,Morning,1
1084,User106,106,35,male,1,Night,0,1,Prg1166,1166,Infotainment,Care_World,Nature,-,0,0,1,1,1,Night,3
1085,User106,106,35,male,1,Night,0,1,Prg1170,1170,Movies,Sony_pix,Film/crime,-,0,0,1,0,0,Evening,3
1086,User106,106,35,male,1,Night,0,1,Prg1480,1480,News,TV9,Market_watch,-,0,0,1,0,0,Morning,1
1087,User106,106,35,male,1,Night,0,1,Prg1482,1482,Sports,Star_sports,Football,-,1,0,1,0,0,Morning,1
1088,User106,106,35,male,1,Night,0,1,Prg1358,1358,Infotainment,NDTV_Good_Times,Nature,-,1,1,1,1,1,Night,1
1089,User106,106,35,male,1,Night,0,1,Prg1204,1204,Kids,discovery_kids,Entertainment,-,1,0,1,1,0,Evening,4
1090,User106,106,35,male,1,Night,0,1,Prg1293,1293,Infotainment,Discovery_Channel,Space,-,1,1,0,0,0,Afternoon,3
1091,User107,107,24,male,0,Afternoon,0,1,Prg1042,1042,LifeStyle,TLC,health_and_well_being,-,0,0,1,1,0,Afternoon,2
1092,User107,107,24,male,0,Afternoon,0,1,Prg1089,1089,LifeStyle,Turbo,culture,-,1,0,1,0,0,Evening,3
1093,User107,107,24,male,0,Afternoon,0,1,Prg1076,1076,LifeStyle,Turbo,health_and_well_being,-,1,0,1,1,0,Evening,3
1094,User107,107,24,male,0,Afternoon,0,1,Prg1309,1309,Music,Gemini_Music,Gameshow,-,0,1,1,1,1,Morning,2
1095,User107,107,24,male,0,Afternoon,0,1,Prg1037,1037,Infotainment,Care_World,Space,-,0,0,1,1,1,Evening,2
1096,User107,107,24,male,0,Afternoon,0,1,Prg1490,1490,Music,B4U,drama,-,0,0,1,1,1,Evening,4
1097,User107,107,24,male,0,Afternoon,0,1,Prg1321,1321,News,N_TV,health_and_well_being,-,1,0,1,0,0,Morning,1
1098,User107,107,24,male,0,Afternoon,0,1,Prg1353,1353,Sports,Star_sports,Golf,-,0,1,0,1,0,Afternoon,1
1099,User107,107,24,male,0,Afternoon,0,1,Prg1135,1135,GEC,Comedy_Central,travel,-,0,1,1,1,0,Evening,5
1100,User107,107,24,male,0,Afternoon,0,1,Prg1358,1358,Infotainment,NDTV_Good_Times,Nature,-,1,1,1,1,1,Night,1
1101,User107,107,24,male,0,Afternoon,0,1,Prg1274,1274,Kids,nikoledian,Music,-,1,1,0,1,0,Morning,3
1102,User107,107,24,male,0,Afternoon,0,1,Prg1320,1320,News,Headlines_Today,Special_report,-,0,0,1,1,1,Evening,3
1103,User107,107,24,male,0,Afternoon,0,1,Prg1180,1180,Sports,Ten_sports,Football,-,0,0,1,1,1,Morning,4
1104,User107,107,24,male,0,Afternoon,0,1,Prg1175,1175,Movies,Z_Cinema,Film/Comedy,-,1,0,1,1,0,Night,4
1105,User107,107,24,male,0,Afternoon,0,1,Prg1453,1453,LifeStyle,TLC,Cooking,-,1,1,0,0,0,Morning,5
1106,User108,108,19,male,0,Evening,0,1,Prg1283,1283,Kids,nikoledian,Entertainment,-,0,1,0,1,1,Night,3
1107,User108,108,19,male,0,Evening,0,1,Prg1206,1206,Kids,nikoledian,Animation,-,0,1,1,1,1,Morning,4
1108,User108,108,19,male,0,Evening,0,1,Prg1315,1315,News,TV5,health_and_well_being,-,1,1,1,0,0,Afternoon,2
1109,User108,108,19,male,0,Evening,0,1,Prg1181,1181,News,Headlines_Today,chat_show,-,0,0,1,0,0,Night,4
1110,User108,108,19,male,0,Evening,0,1,Prg1427,1427,Sports,Star_HD,Golf,-,1,0,1,1,1,Evening,5
1111,User108,108,19,male,0,Evening,0,1,Prg1080,1080,Kids,hungama,Entertainment,-,1,0,1,1,0,Night,3
1112,User108,108,19,male,0,Evening,0,1,Prg1040,1040,News,CNN_IBN,talk_show,-,1,0,1,0,0,Afternoon,2
1113,User108,108,19,male,0,Evening,0,1,Prg1213,1213,GEC,Fox_Crime,Detective,-,0,0,1,0,0,Afternoon,4
1114,User108,108,19,male,0,Evening,0,1,Prg1018,1018,Infotainment,Discovery_Channel,Factual_entertainment,-,0,1,1,0,0,Evening,2
1115,User108,108,19,male,0,Evening,0,1,Prg1209,1209,Movies,Sony_Max,Film/crime,-,0,0,1,0,0,Night,4
1116,User108,108,19,male,0,Evening,0,1,Prg1196,1196,LifeStyle,Turbo,culture,-,1,1,1,1,1,Afternoon,4
1117,User108,108,19,male,0,Evening,0,1,Prg1335,1335,Religious,sanskaar,Magazine_programme,-,1,0,1,1,1,Evening,1
1118,User108,108,19,male,0,Evening,0,1,Prg1429,1429,News,N_TV,Headlines,-,1,1,0,1,1,Afternoon,5
1119,User108,108,19,male,0,Evening,0,1,Prg1152,1152,News,CNN_IBN,Headlines,-,0,0,1,1,0,Morning,3
1120,User108,108,19,male,0,Evening,0,1,Prg1185,1185,Sports,Neo_sports,Golf,-,0,0,1,1,1,Evening,4
1121,User109,109,37,male,0,Night,1,0,Prg1289,1289,Kids,hungama,Animation,-,0,1,0,1,1,Afternoon,3
1122,User109,109,37,male,0,Night,1,0,Prg1371,1371,Music,Gemini_Music,Consumer,-,1,0,1,1,0,Morning,4
1123,User109,109,37,male,0,Night,1,0,Prg1143,1143,Infotainment,Discovery_Channel,Astrology,-,0,0,1,1,1,Afternoon,3
1124,User109,109,37,male,0,Night,1,0,Prg1186,1186,Sports,Ten_sports,badminton,-,1,0,1,1,0,Evening,4
1125,User109,109,37,male,0,Night,1,0,Prg1247,1247,GEC,Star_Plus,Reality_show,-,1,0,1,1,1,Evening,3
1126,User109,109,37,male,0,Night,1,0,Prg1452,1452,Kids,discovery_kids,Music,-,0,0,1,1,1,Night,5
1127,User109,109,37,male,0,Night,1,0,Prg1066,1066,Infotainment,NDTV_Good_Times,Education,-,0,0,1,1,1,Night,3
1128,User109,109,37,male,0,Night,1,0,Prg1232,1232,LifeStyle,TLC,culture,-,0,0,1,0,0,Afternoon,3
1129,User109,109,37,male,0,Night,1,0,Prg1414,1414,Sports,Neo_sports,badminton,-,0,1,1,1,1,Night,4
1130,User109,109,37,male,0,Night,1,0,Prg1034,1034,LifeStyle,Good_Times,travel,-,1,0,1,1,1,Evening,2
1131,User109,109,37,male,0,Night,1,0,Prg1181,1181,News,Headlines_Today,chat_show,-,0,0,1,0,0,Night,4
1132,User109,109,37,male,0,Night,1,0,Prg1181,1181,News,Headlines_Today,chat_show,-,0,0,1,0,0,Night,4
1133,User109,109,37,male,0,Night,1,0,Prg1321,1321,News,N_TV,health_and_well_being,-,1,0,1,0,0,Morning,1
1134,User109,109,37,male,0,Night,1,0,Prg1271,1271,Infotainment,Discovery_Channel,Space,-,0,1,0,0,0,Night,3
1135,User109,109,37,male,0,Night,1,0,Prg1211,1211,Sports,Star_sports2,martial_Arts,-,0,1,0,1,0,Afternoon,4
1136,User110,110,38,Female,1,Evening,1,1,Prg1284,1284,LifeStyle,Good_Times,culture,-,1,1,0,1,1,Afternoon,3
1137,User110,110,38,Female,1,Evening,1,1,Prg1329,1329,Religious,sanskaar,Events/festival,-,0,1,1,1,1,Afternoon,1
1138,User110,110,38,Female,1,Evening,1,1,Prg1089,1089,LifeStyle,Turbo,culture,-,1,0,1,0,0,Evening,3
1139,User110,110,38,Female,1,Evening,1,1,Prg1490,1490,Music,B4U,drama,-,0,0,1,1,1,Evening,1
1140,User110,110,38,Female,1,Evening,1,1,Prg1149,1149,Music,M_TV,Request,-,1,1,0,1,1,Evening,2
1141,User110,110,38,Female,1,Evening,1,1,Prg1093,1093,Kids,discovery_kids,Education,-,0,1,1,1,1,Evening,3
1142,User110,110,38,Female,1,Evening,1,1,Prg1119,1119,LifeStyle,Turbo,health_and_well_being,-,1,0,1,0,0,Morning,3
1143,User110,110,38,Female,1,Evening,1,1,Prg1278,1278,Movies,Movies_Now,Film/Horror,-,0,1,0,0,0,Afternoon,3
1144,User110,110,38,Female,1,Evening,1,1,Prg1107,1107,Kids,discovery_kids,Education,-,1,0,1,1,1,Afternoon,3
1145,User110,110,38,Female,1,Evening,1,1,Prg1068,1068,GEC,Star_Plus,Action,-,0,0,1,0,0,Night,2
1146,User110,110,38,Female,1,Evening,1,1,Prg1324,1324,Movies,Sony_Max,Film/Adventure,-,1,0,1,0,0,Evening,1
1147,User110,110,38,Female,1,Evening,1,1,Prg1284,1284,LifeStyle,Good_Times,culture,-,1,1,0,1,1,Afternoon,3
1148,User110,110,38,Female,1,Evening,1,1,Prg1269,1269,Sports,Sony_six,special_feature,-,1,0,1,1,0,Night,3
1149,User110,110,38,Female,1,Evening,1,1,Prg1364,1364,Kids,nikoledian,Education,-,0,1,0,1,0,Night,1
1150,User110,110,38,Female,1,Evening,1,1,Prg1366,1366,Music,M_TV,Request,-,0,0,1,1,1,Evening,1
1151,User111,111,23,Female,1,Night,1,1,Prg1483,1483,Movies,Maa_Movies,Film/Thriller,-,0,0,1,0,0,Evening,5
1152,User111,111,23,Female,1,Night,1,1,Prg1165,1165,Religious,bhakthi,Entertainment,-,0,1,0,0,0,Night,3
1153,User111,111,23,Female,1,Night,1,1,Prg1425,1425,Movies,Z_Cinema,Film/Comedy,-,1,0,1,1,0,Afternoon,5
1154,User111,111,23,Female,1,Night,1,1,Prg1169,1169,Kids,nikoledian,Animation,-,0,1,1,1,1,Evening,3
1155,User111,111,23,Female,1,Night,1,1,Prg1166,1166,Infotainment,Care_World,Nature,-,0,0,1,1,1,Night,3
1156,User111,111,23,Female,1,Night,1,1,Prg1249,1249,Infotainment,Discovery_Channel,Social,-,1,1,1,1,0,Night,3
1157,User111,111,23,Female,1,Night,1,1,Prg1233,1233,Kids,discovery_kids,Music,-,0,1,0,1,0,Afternoon,3
1158,User111,111,23,Female,1,Night,1,1,Prg1323,1323,LifeStyle,Turbo,travel,-,1,1,0,1,0,Night,1
1159,User111,111,23,Female,1,Night,1,1,Prg1056,1056,Sports,DD_sports,cricket,-,1,0,1,0,0,Afternoon,3
1160,User111,111,23,Female,1,Night,1,1,Prg1374,1374,Movies,Z_Cinema,Film/Sci-Fi,-,0,1,0,0,0,Afternoon,4
1161,User111,111,23,Female,1,Night,1,1,Prg1217,1217,Movies,Maa_Movies,Film/Sci-Fi,-,0,1,1,1,1,Morning,4
1162,User111,111,23,Female,1,Night,1,1,Prg1258,1258,Infotainment,Topper,Technology,-,1,0,1,1,1,Night,3
1163,User111,111,23,Female,1,Night,1,1,Prg1083,1083,News,BBC_NEWS,talk_show,-,0,1,1,1,1,Afternoon,3
1164,User111,111,23,Female,1,Night,1,1,Prg1294,1294,Sports,Star_HD,martial_Arts,-,1,0,1,1,1,Evening,3
1165,User111,111,23,Female,1,Night,1,1,Prg1109,1109,Kids,cartoon_network,Film/Telefilm,-,0,1,1,1,1,Afternoon,3
1166,User112,112,40,male,0,Night,1,0,Prg1347,1347,Sports,DD_sports,Golf,-,1,0,1,1,1,Morning,1
1167,User112,112,40,male,0,Night,1,0,Prg1270,1270,Music,Gemini_Music,Request,-,0,1,1,1,1,Night,3
1168,User112,112,40,male,0,Night,1,0,Prg1122,1122,Kids,hungama,Film/Telefilm,-,0,1,0,0,0,Night,2
1169,User112,112,40,male,0,Night,1,0,Prg1323,1323,LifeStyle,Turbo,travel,-,1,1,0,1,0,Night,1
1170,User112,112,40,male,0,Night,1,0,Prg1247,1247,GEC,Star_Plus,Reality_show,-,1,0,1,1,1,Evening,3
1171,User112,112,40,male,0,Night,1,0,Prg1392,1392,Sports,Star_HD,Tennis,-,0,1,0,0,0,Evening,4
1172,User112,112,40,male,0,Night,1,0,Prg1182,1182,Music,Gemini_Music,Telelost,-,1,0,1,0,0,Evening,4
1173,User112,112,40,male,0,Night,1,0,Prg1178,1178,Sports,Sony_six,special_feature,-,0,0,1,1,0,Night,4
1174,User112,112,40,male,0,Night,1,0,Prg1150,1150,LifeStyle,Travel_XP,Cooking,-,0,0,1,1,1,Morning,2
1175,User112,112,40,male,0,Night,1,0,Prg1182,1182,Music,Gemini_Music,Telelost,-,1,0,1,0,0,Evening,4
1176,User112,112,40,male,0,Night,1,0,Prg1162,1162,News,BBC_NEWS,Market_watch,-,1,0,1,1,1,Morning,3
1177,User112,112,40,male,0,Night,1,0,Prg1265,1265,Music,zoom,Filmi,-,0,1,1,1,1,Afternoon,3
1178,User112,112,40,male,0,Night,1,0,Prg1171,1171,Religious,OM,Events/festival,-,0,0,1,0,0,Night,4
1179,User112,112,40,male,0,Night,1,0,Prg1213,1213,GEC,Fox_Crime,Detective,-,0,0,1,0,0,Afternoon,4
1180,User112,112,40,male,0,Night,1,0,Prg1460,1460,Movies,Sony_pix,Film/Animation,-,1,1,1,1,0,Morning,5
1181,User113,113,57,male,0,Morning,1,1,Prg1107,1107,Kids,discovery_kids,Education,-,1,0,1,1,1,Afternoon,3
1182,User113,113,57,male,0,Morning,1,1,Prg1344,1344,GEC,AXN,Action,-,1,0,1,1,1,Night,1
1183,User113,113,57,male,0,Morning,1,1,Prg1438,1438,GEC,Star_Plus,Action,-,0,0,1,1,0,Morning,5
1184,User113,113,57,male,0,Morning,1,1,Prg1392,1392,Sports,Star_HD,Tennis,-,0,1,0,0,0,Evening,4
1185,User113,113,57,male,0,Morning,1,1,Prg1471,1471,Movies,Star_Movies,Film/Thriller,-,1,0,1,0,0,Morning,2
1186,User113,113,57,male,0,Morning,1,1,Prg1083,1083,News,BBC_NEWS,talk_show,-,0,1,1,1,1,Afternoon,3
1187,User113,113,57,male,0,Morning,1,1,Prg1304,1304,LifeStyle,Z_Khaana,travel,-,0,0,1,1,0,Night,2
1188,User113,113,57,male,0,Morning,1,1,Prg1446,1446,News,TV9,Technology,-,1,1,1,1,0,Morning,5
1189,User113,113,57,male,0,Morning,1,1,Prg1186,1186,Sports,Ten_sports,badminton,-,1,0,1,1,0,Evening,4
1190,User113,113,57,male,0,Morning,1,1,Prg1423,1423,Movies,Z_Cinema,Film/crime,-,1,1,1,1,1,Night,5
1191,User113,113,57,male,0,Morning,1,1,Prg1042,1042,LifeStyle,TLC,health_and_well_being,-,0,0,1,1,0,Afternoon,2
1192,User113,113,57,male,0,Morning,1,1,Prg1257,1257,LifeStyle,Z_Khaana,health_and_well_being,-,0,0,1,1,1,Night,3
1193,User113,113,57,male,0,Morning,1,1,Prg1006,1006,Infotainment,Topper,Social,-,0,1,1,1,1,Night,2
1194,User113,113,57,male,0,Morning,1,1,Prg1388,1388,Music,B4U,drama,-,1,0,1,0,0,Afternoon,4
1195,User113,113,57,male,0,Morning,1,1,Prg1039,1039,Infotainment,Care_World,Space,-,1,0,1,0,0,Morning,2
1196,User114,114,38,Female,1,Night,0,1,Prg1489,1489,GEC,Star_Plus,Action,-,1,0,1,1,0,Night,3
1197,User114,114,38,Female,1,Night,0,1,Prg1074,1074,Sports,Neo_sports,badminton,-,1,0,1,0,0,Morning,3
1198,User114,114,38,Female,1,Night,0,1,Prg1026,1026,News,TV9,Special_report,-,0,1,1,1,0,Night,2
1199,User114,114,38,Female,1,Night,0,1,Prg1478,1478,News,Times_Now,talk_show,-,0,1,0,0,0,Evening,3
1200,User114,114,38,Female,1,Night,0,1,Prg1446,1446,News,TV9,Technology,-,1,1,1,1,0,Morning,5
1201,User114,114,38,Female,1,Night,0,1,Prg1328,1328,LifeStyle,Good_Times,fashion,-,1,0,1,1,0,Morning,1
1202,User114,114,38,Female,1,Night,0,1,Prg1411,1411,Movies,UTV_Movies,Film/Drama,-,1,0,1,1,1,Afternoon,4
1203,User114,114,38,Female,1,Night,0,1,Prg1208,1208,Kids,pogo,Entertainment,-,0,0,1,1,1,Afternoon,4
1204,User114,114,38,Female,1,Night,0,1,Prg1048,1048,Religious,TTD,Astrology,-,0,1,0,1,1,Afternoon,2
1205,User114,114,38,Female,1,Night,0,1,Prg1071,1071,News,Headlines_Today,Technology,-,1,1,0,1,1,Afternoon,3
1206,User114,114,38,Female,1,Night,0,1,Prg1035,1035,Infotainment,Home_Shop_18,Biography,-,1,1,0,1,1,Evening,2
1207,User114,114,38,Female,1,Night,0,1,Prg1402,1402,Religious,TTD,Astrology,-,1,1,0,1,0,Morning,4
1208,User114,114,38,Female,1,Night,0,1,Prg1319,1319,LifeStyle,Z_Khaana,health_and_well_being,-,0,0,1,0,0,Afternoon,3
1209,User114,114,38,Female,1,Night,0,1,Prg1027,1027,Sports,Star_sports2,hockey,-,1,1,1,1,1,Evening,2
