ViewTime is Morning and WeekDayIndex is 16
Got 2031 ratings from 889 users on 69 Items.
Training: 1229, validation: 388, test: 414
Rating(user=430, product=1245, rating=2.033777098760372)
Rating(user=396, product=1105, rating=2.9677749187407056)
Rating(user=268, product=1105, rating=2.8568688565500864)
Rating(user=453, product=1105, rating=2.807423984720346)
Rating(user=974, product=1105, rating=2.7498940317479588)
Rating(user=918, product=1105, rating=2.802730617438103)
Rating(user=970, product=1105, rating=2.7185415155430546)
Rating(user=688, product=1101, rating=3.1871925027646153)
Rating(user=1100, product=1101, rating=2.6135352830622787)
Rating(user=380, product=1101, rating=2.96542384684978)
Rating(user=885, product=1101, rating=2.9049048535323996)
Rating(user=582, product=1101, rating=2.9743659409686414)
Rating(user=330, product=1101, rating=1.2871472454309039)
Rating(user=198, product=1101, rating=2.8520317914185416)
Rating(user=957, product=1437, rating=4.2577586519257)
Rating(user=749, product=1437, rating=3.9844293406992772)
Rating(user=130, product=1437, rating=4.258036151409062)
Rating(user=307, product=1437, rating=0.9006949544768703)
Rating(user=892, product=1453, rating=4.48829183641713)
Rating(user=529, product=1453, rating=4.484278598990377)
Rating(user=649, product=1453, rating=4.383370016254248)
Rating(user=401, product=1453, rating=4.410987849901367)
Rating(user=1026, product=1453, rating=4.704310296480764)
Rating(user=854, product=1453, rating=4.45132756706206)
Rating(user=1038, product=1453, rating=4.6206705336034855)
Rating(user=643, product=1453, rating=4.529108388543671)
Rating(user=332, product=1141, rating=3.1305763931223503)
Rating(user=924, product=1141, rating=3.6211790728037174)
Rating(user=137, product=1141, rating=3.253553262650127)
Rating(user=817, product=1141, rating=3.977841150838401)
Rating(user=1001, product=1141, rating=3.2407925361669014)
Rating(user=574, product=1141, rating=3.3655039080781286)
Rating(user=482, product=1141, rating=3.1305763931223503)
Rating(user=732, product=1441, rating=4.664042674280417)
Rating(user=672, product=1441, rating=4.313082173993008)
Rating(user=504, product=1441, rating=4.585582352734944)
Rating(user=977, product=1441, rating=4.404394801020285)
Rating(user=425, product=1441, rating=4.2221517120429715)
Rating(user=747, product=1441, rating=4.150305623337012)
Rating(user=736, product=1493, rating=2.230205224350833)
Rating(user=504, product=1493, rating=1.8020649525933523)
Rating(user=200, product=1493, rating=2.2646864043815116)
Rating(user=329, product=1493, rating=2.082619038407702)
Rating(user=1009, product=1493, rating=2.3053586171000093)
Rating(user=822, product=1493, rating=0.2292382431556188)
Rating(user=734, product=1493, rating=2.4049034480482336)
Rating(user=638, product=1493, rating=1.2702290615101102)
Rating(user=714, product=1493, rating=2.3659392617315946)
Rating(user=595, product=1493, rating=2.365790934905717)
Rating(user=1029, product=1129, rating=3.0678791421230986)
Rating(user=375, product=1129, rating=3.2373958591018197)
Rating(user=499, product=1129, rating=2.823646744793932)
Rating(user=470, product=1470, rating=2.4083459241611056)
Rating(user=618, product=1470, rating=2.585474671725932)
Rating(user=998, product=1470, rating=0.7204469960676085)
Rating(user=419, product=1470, rating=1.1988761130357104)
Rating(user=747, product=1470, rating=2.4394815126538942)
Rating(user=140, product=1054, rating=2.1125280114831977)
Rating(user=1032, product=1054, rating=2.514699972851809)
Rating(user=488, product=1054, rating=2.3093354291776342)
Rating(user=1065, product=1054, rating=2.2129876565135693)
Rating(user=802, product=1054, rating=2.128651138914636)
Rating(user=801, product=1146, rating=2.8228980520127696)
Rating(user=506, product=1146, rating=3.6440427941296725)
Rating(user=570, product=1146, rating=2.7112270394744993)
Rating(user=320, product=1298, rating=3.8889973237680366)
Rating(user=928, product=1298, rating=3.4732792250932296)
Rating(user=439, product=1298, rating=2.7863454604914857)
Rating(user=255, product=1342, rating=1.0408526873905006)
Rating(user=519, product=1342, rating=1.2890898900330447)
Rating(user=1064, product=1274, rating=2.938929750990839)
Rating(user=864, product=1274, rating=3.1192546202737916)
Rating(user=693, product=1274, rating=1.9322928299074866)
Rating(user=234, product=1274, rating=0.705127203640153)
Rating(user=712, product=1378, rating=4.038715037787609)
Rating(user=280, product=1378, rating=1.740648786510804)
Rating(user=440, product=1050, rating=3.578628861441009)
Rating(user=172, product=1050, rating=3.587155018776176)
Rating(user=488, product=1050, rating=3.3234586027386723)
Rating(user=708, product=1458, rating=4.53497387774096)
Rating(user=194, product=1458, rating=4.344516318805654)
Rating(user=970, product=1458, rating=4.147663379527931)
Rating(user=575, product=1458, rating=4.452706662065429)
Rating(user=796, product=1194, rating=3.6887390406151574)
Rating(user=500, product=1194, rating=3.621011818032735)
Rating(user=626, product=1194, rating=3.7516320714482863)
Rating(user=722, product=1194, rating=3.83507271092369)
Rating(user=994, product=1194, rating=2.3130017344814524)
Rating(user=570, product=1194, rating=3.59204652644716)
Rating(user=1063, product=1194, rating=3.8545626952551877)
Rating(user=762, product=1402, rating=4.011501886606322)
Rating(user=114, product=1402, rating=3.785326639013522)
Rating(user=692, product=1206, rating=3.756477056383425)
Rating(user=750, product=1206, rating=3.365968627442248)
Rating(user=422, product=1206, rating=3.689353715611972)
Rating(user=640, product=1238, rating=2.9347106371559604)
Rating(user=640, product=1238, rating=2.9347106371559604)
Rating(user=593, product=1238, rating=2.9112273630625323)
Rating(user=974, product=1338, rating=0.8525361959330997)
Rating(user=1006, product=1338, rating=1.0456182672297825)
Rating(user=546, product=1338, rating=0.9293554805291862)
Rating(user=494, product=1338, rating=1.2346548368344645)
Rating(user=394, product=1338, rating=1.0002026278708638)
Rating(user=191, product=1338, rating=0.895057845899466)
Rating(user=1060, product=1446, rating=4.941947292939545)
Rating(user=756, product=1446, rating=2.199934577627667)
Rating(user=533, product=1446, rating=4.557786942149036)
Rating(user=589, product=1446, rating=5.340604424249928)
Rating(user=141, product=1446, rating=4.683549577565377)
Rating(user=505, product=1134, rating=2.054689008533618)
Rating(user=566, product=1134, rating=2.662668103769992)
Rating(user=642, product=1134, rating=2.2431565286152435)
Rating(user=674, product=1062, rating=2.2830974620113893)
Rating(user=542, product=1062, rating=3.6991418137965133)
Rating(user=1095, product=1062, rating=2.2830974620113893)
Rating(user=1078, product=1114, rating=2.2479864617840586)
Rating(user=662, product=1114, rating=2.6050689926715145)
Rating(user=344, product=1110, rating=2.9165719180031933)
Rating(user=596, product=1110, rating=2.8971672839793925)
Rating(user=510, product=1110, rating=1.881424103436244)
Rating(user=849, product=1263, rating=2.937023327384942)
Rating(user=397, product=1263, rating=3.0211332157443995)
Rating(user=1094, product=1263, rating=2.0410171274170024)
Rating(user=1076, product=1223, rating=2.5665059423226597)
Rating(user=509, product=1223, rating=2.84577355271258)
Rating(user=143, product=1223, rating=2.8918697902879753)
Rating(user=304, product=1407, rating=3.7444107816231913)
Rating(user=618, product=1407, rating=3.85860882483506)
Rating(user=344, product=1051, rating=2.6438072297440605)
Rating(user=128, product=1051, rating=2.6885691978731154)
Rating(user=468, product=1051, rating=2.5395355543162594)
Rating(user=842, product=1051, rating=1.2844763805511932)
Rating(user=698, product=1051, rating=2.4981704100315905)
Rating(user=218, product=1051, rating=2.8052398149369924)
Rating(user=358, product=1051, rating=0.9785002349758773)
Rating(user=364, product=1451, rating=4.899745863458505)
Rating(user=438, product=1451, rating=4.509195107583506)
Rating(user=714, product=1451, rating=4.568739798289694)
Rating(user=846, product=1127, rating=2.085760931785156)
Rating(user=173, product=1239, rating=2.9549982076687007)
Rating(user=1098, product=1239, rating=2.922275332402541)
Rating(user=212, product=1395, rating=3.996885488760656)
Rating(user=456, product=1395, rating=3.7393638139568193)
Rating(user=1058, product=1395, rating=4.115714566801703)
Rating(user=714, product=1395, rating=3.8470879242533575)
Rating(user=924, product=1275, rating=2.9280876043429824)
Rating(user=364, product=1275, rating=3.004155340122586)
Rating(user=724, product=1275, rating=2.6813724156340446)
Rating(user=861, product=1275, rating=3.4640039606146615)
Rating(user=926, product=1275, rating=3.0910069059449943)
Rating(user=766, product=1275, rating=3.6898979418345963)
Rating(user=354, product=1275, rating=2.8915472838763856)
Rating(user=1031, product=1275, rating=3.0993383473963005)
Rating(user=871, product=1275, rating=3.1357862804909393)
Rating(user=328, product=1195, rating=3.803968407643598)
Rating(user=648, product=1195, rating=3.7393827613955075)
Rating(user=116, product=1195, rating=4.02930193168035)
Rating(user=240, product=1195, rating=3.894318597103564)
Rating(user=633, product=1195, rating=1.665139593824892)
Rating(user=186, product=1195, rating=3.738297899782035)
Rating(user=150, product=1195, rating=3.5021685465760886)
Rating(user=594, product=1195, rating=2.376060825804291)
Rating(user=347, product=1195, rating=4.902501549902301)
Rating(user=511, product=1195, rating=3.968046011627496)
Rating(user=952, product=1087, rating=2.434356291946859)
Rating(user=652, product=1479, rating=3.3250859365116963)
Rating(user=762, product=1479, rating=3.433143534927768)
Rating(user=886, product=1479, rating=2.716859697904351)
Rating(user=564, product=1231, rating=2.409520809185496)
Rating(user=900, product=1231, rating=3.36279963688736)
Rating(user=1006, product=1231, rating=2.693701346544061)
Rating(user=1063, product=1231, rating=2.8835831395853404)
Rating(user=1084, product=1359, rating=1.098224372562812)
Rating(user=968, product=1359, rating=0.21396534794179273)
Rating(user=1065, product=1359, rating=1.1496613125931503)
Rating(user=354, product=1359, rating=0.9900272414805686)
Rating(user=1022, product=1359, rating=1.017925348284574)
Rating(user=538, product=1359, rating=1.49669194248952)
Rating(user=358, product=1359, rating=0.7402723361276596)
end predictions
(108, 1206, 4.0)
(114, 1402, 4.0)
(188, 1298, 3.0)
(191, 1338, 1.0)
(192, 1216, 4.0)
(194, 1458, 5.0)
(198, 1101, 3.0)
(200, 1493, 4.0)
(204, 1238, 3.0)
(204, 1157, 3.0)
(206, 1433, 5.0)
(212, 1395, 4.0)
(214, 1275, 3.0)
(218, 1051, 4.0)
(226, 1280, 3.0)
(227, 1433, 5.0)
(232, 1275, 3.0)
(234, 1274, 3.0)
(236, 1253, 3.0)
(238, 1413, 4.0)
(239, 1308, 3.0)
(240, 1195, 4.0)
(241, 1016, 2.0)
(242, 1396, 4.0)
(248, 1146, 2.0)
(255, 1342, 1.0)
(258, 1004, 1.0)
(260, 1451, 5.0)
(260, 1298, 3.0)
(263, 1051, 4.0)
(267, 1133, 3.0)
(268, 1105, 3.0)
(270, 1332, 1.0)
(274, 1420, 4.0)
(116, 1195, 4.0)
(125, 1428, 5.0)
(126, 1420, 4.0)
(128, 1051, 3.0)
(278, 1288, 3.0)
(280, 1444, 5.0)
(280, 1378, 4.0)
(284, 1161, 3.0)
(298, 1332, 1.0)
(300, 1275, 3.0)
(302, 1108, 3.0)
(304, 1407, 4.0)
(307, 1437, 5.0)
(310, 1216, 4.0)
(316, 1496, 5.0)
(319, 1110, 3.0)
(320, 1298, 3.0)
(322, 1004, 1.0)
(324, 1493, 2.0)
(325, 1132, 4.0)
(328, 1195, 4.0)
(329, 1493, 3.0)
(330, 1101, 3.0)
(330, 1420, 4.0)
(332, 1141, 1.0)
(339, 1444, 5.0)
(341, 1288, 3.0)
(344, 1051, 2.0)
(344, 1110, 3.0)
(347, 1195, 4.0)
(354, 1275, 3.0)
(354, 1359, 1.0)
(356, 1216, 4.0)
(357, 1212, 4.0)
(358, 1051, 1.0)
(358, 1359, 1.0)
(359, 1288, 3.0)
(360, 1051, 4.0)
(360, 1275, 3.0)
(364, 1451, 5.0)
(364, 1275, 3.0)
(375, 1129, 3.0)
(378, 1133, 3.0)
(380, 1101, 3.0)
(392, 1332, 1.0)
(394, 1338, 1.0)
(396, 1105, 3.0)
(397, 1263, 3.0)
(401, 1453, 5.0)
(408, 1148, 1.0)
(414, 1332, 1.0)
(414, 1256, 3.0)
(418, 1437, 5.0)
(419, 1470, 3.0)
(422, 1206, 4.0)
(425, 1441, 5.0)
(428, 1238, 3.0)
(430, 1245, 3.0)
(436, 1105, 3.0)
(436, 1280, 3.0)
(438, 1451, 5.0)
(439, 1298, 3.0)
(440, 1050, 5.0)
(447, 1332, 1.0)
(453, 1105, 3.0)
(454, 1359, 1.0)
(456, 1395, 4.0)
(468, 1051, 4.0)
(130, 1437, 5.0)
(132, 1133, 3.0)
(132, 1420, 4.0)
(134, 1253, 3.0)
(137, 1141, 1.0)
(140, 1054, 3.0)
(141, 1446, 5.0)
(143, 1223, 3.0)
(469, 1332, 1.0)
(470, 1470, 3.0)
(474, 1493, 1.0)
(478, 1132, 3.0)
(482, 1245, 3.0)
(482, 1141, 3.0)
(485, 1051, 5.0)
(488, 1050, 4.0)
(488, 1054, 1.0)
(492, 1378, 4.0)
(492, 1217, 4.0)
(493, 1274, 3.0)
(494, 1338, 1.0)
(498, 1110, 3.0)
(498, 1016, 5.0)
(498, 1132, 4.0)
(499, 1129, 1.0)
(500, 1194, 4.0)
(502, 1127, 4.0)
(502, 1396, 4.0)
(503, 1054, 5.0)
(504, 1493, 1.0)
(504, 1441, 5.0)
(505, 1134, 4.0)
(506, 1146, 5.0)
(508, 1133, 2.0)
(509, 1223, 3.0)
(510, 1110, 3.0)
(511, 1195, 4.0)
(512, 1108, 3.0)
(514, 1132, 1.0)
(514, 1256, 3.0)
(516, 1217, 4.0)
(516, 1280, 3.0)
(517, 1253, 3.0)
(518, 1051, 2.0)
(519, 1342, 1.0)
(528, 1245, 3.0)
(528, 1129, 3.0)
(529, 1453, 5.0)
(530, 1231, 3.0)
(533, 1446, 5.0)
(538, 1359, 1.0)
(542, 1062, 5.0)
(542, 1460, 5.0)
(546, 1256, 3.0)
(546, 1338, 1.0)
(553, 1433, 5.0)
(558, 1217, 4.0)
(559, 1256, 3.0)
(564, 1231, 3.0)
(565, 1332, 1.0)
(566, 1134, 5.0)
(570, 1146, 4.0)
(570, 1194, 4.0)
(574, 1141, 4.0)
(575, 1458, 5.0)
(580, 1298, 3.0)
(582, 1101, 3.0)
(584, 1428, 5.0)
(587, 1253, 3.0)
(589, 1446, 5.0)
(590, 1087, 3.0)
(590, 1437, 5.0)
(593, 1238, 3.0)
(594, 1195, 4.0)
(595, 1493, 2.0)
(596, 1110, 3.0)
(596, 1256, 3.0)
(602, 1308, 5.0)
(610, 1127, 1.0)
(612, 1444, 5.0)
(613, 1195, 4.0)
(617, 1395, 4.0)
(618, 1407, 4.0)
(618, 1470, 1.0)
(620, 1132, 4.0)
(622, 1413, 4.0)
(626, 1460, 5.0)
(626, 1194, 4.0)
(628, 1413, 4.0)
(628, 1332, 1.0)
(631, 1256, 3.0)
(633, 1195, 4.0)
(638, 1493, 3.0)
(640, 1238, 3.0)
(640, 1238, 3.0)
(641, 1051, 4.0)
(642, 1134, 5.0)
(643, 1453, 5.0)
(643, 1253, 3.0)
(644, 1206, 4.0)
(645, 1217, 4.0)
(648, 1195, 4.0)
(649, 1453, 5.0)
(652, 1396, 4.0)
(652, 1479, 1.0)
(654, 1194, 4.0)
(656, 1108, 3.0)
(656, 1458, 5.0)
(662, 1114, 3.0)
(672, 1441, 5.0)
(674, 1444, 5.0)
(674, 1062, 5.0)
(679, 1493, 5.0)
(684, 1133, 4.0)
(687, 1444, 5.0)
(688, 1101, 3.0)
(690, 1378, 4.0)
(692, 1206, 4.0)
(693, 1274, 3.0)
(695, 1470, 1.0)
(697, 1148, 4.0)
(698, 1051, 5.0)
(699, 1148, 3.0)
(707, 1332, 1.0)
(708, 1458, 5.0)
(712, 1378, 4.0)
(714, 1493, 5.0)
(714, 1395, 4.0)
(714, 1451, 5.0)
(717, 1413, 4.0)
(722, 1194, 4.0)
(724, 1275, 3.0)
(727, 1256, 3.0)
(728, 1062, 2.0)
(728, 1146, 1.0)
(732, 1441, 5.0)
(105, 1114, 3.0)
(144, 1338, 1.0)
(150, 1195, 4.0)
(152, 1288, 3.0)
(154, 1359, 1.0)
(155, 1132, 1.0)
(156, 1274, 3.0)
(159, 1444, 5.0)
(160, 1161, 3.0)
(167, 1444, 5.0)
(172, 1050, 1.0)
(173, 1239, 3.0)
(178, 1110, 3.0)
(179, 1263, 3.0)
(180, 1441, 5.0)
(180, 1253, 3.0)
(186, 1195, 4.0)
(734, 1493, 2.0)
(735, 1132, 1.0)
(736, 1493, 4.0)
(738, 1194, 4.0)
(747, 1441, 5.0)
(747, 1470, 5.0)
(749, 1437, 5.0)
(750, 1148, 3.0)
(750, 1206, 4.0)
(752, 1420, 4.0)
(756, 1446, 5.0)
(760, 1274, 3.0)
(762, 1402, 4.0)
(762, 1479, 4.0)
(766, 1444, 5.0)
(766, 1275, 3.0)
(776, 1133, 1.0)
(776, 1402, 4.0)
(776, 1110, 3.0)
(782, 1280, 3.0)
(787, 1460, 5.0)
(794, 1238, 3.0)
(796, 1194, 4.0)
(800, 1359, 1.0)
(801, 1146, 2.0)
(802, 1054, 2.0)
(812, 1342, 1.0)
(815, 1437, 5.0)
(815, 1496, 5.0)
(817, 1141, 4.0)
(817, 1496, 3.0)
(822, 1493, 2.0)
(828, 1332, 1.0)
(833, 1129, 2.0)
(839, 1420, 4.0)
(842, 1413, 4.0)
(842, 1051, 5.0)
(846, 1127, 2.0)
(846, 1428, 5.0)
(847, 1275, 3.0)
(849, 1263, 3.0)
(853, 1127, 3.0)
(854, 1453, 5.0)
(861, 1275, 3.0)
(864, 1274, 3.0)
(870, 1288, 3.0)
(871, 1275, 3.0)
(880, 1096, 3.0)
(885, 1101, 3.0)
(886, 1479, 5.0)
(892, 1453, 5.0)
(894, 1308, 2.0)
(900, 1231, 3.0)
(910, 1470, 4.0)
(912, 1359, 1.0)
(914, 1460, 5.0)
(918, 1105, 3.0)
(924, 1141, 3.0)
(924, 1275, 3.0)
(926, 1275, 3.0)
(928, 1298, 3.0)
(934, 1308, 2.0)
(935, 1212, 4.0)
(940, 1134, 1.0)
(940, 1441, 5.0)
(944, 1460, 5.0)
(946, 1446, 5.0)
(948, 1433, 5.0)
(950, 1157, 3.0)
(952, 1087, 3.0)
(957, 1437, 5.0)
(963, 1359, 1.0)
(964, 1148, 1.0)
(968, 1359, 1.0)
(970, 1105, 3.0)
(970, 1458, 5.0)
(974, 1105, 3.0)
(974, 1338, 1.0)
(976, 1338, 1.0)
(977, 1441, 5.0)
(980, 1016, 4.0)
(986, 1332, 1.0)
(987, 1444, 5.0)
(990, 1288, 3.0)
(990, 1444, 5.0)
(991, 1216, 4.0)
(992, 1239, 3.0)
(994, 1194, 4.0)
(998, 1470, 5.0)
(1001, 1141, 5.0)
(1006, 1157, 3.0)
(1006, 1231, 3.0)
(1006, 1338, 1.0)
(1009, 1493, 2.0)
(1010, 1444, 5.0)
(1015, 1359, 1.0)
(1017, 1096, 3.0)
(1021, 1479, 3.0)
(1022, 1496, 3.0)
(1022, 1359, 1.0)
(1026, 1453, 5.0)
(1027, 1148, 4.0)
(1029, 1129, 3.0)
(1031, 1275, 3.0)
(1032, 1054, 3.0)
(1033, 1359, 1.0)
(1038, 1453, 5.0)
(1048, 1051, 3.0)
(1049, 1216, 4.0)
(1054, 1433, 5.0)
(1058, 1395, 4.0)
(1060, 1446, 5.0)
(1062, 1395, 4.0)
(1063, 1231, 3.0)
(1063, 1194, 4.0)
(1064, 1274, 3.0)
(1065, 1359, 1.0)
(1065, 1054, 4.0)
(1066, 1004, 1.0)
(1069, 1253, 3.0)
(1076, 1223, 3.0)
(1077, 1157, 3.0)
(1078, 1114, 3.0)
(1080, 1263, 3.0)
(1084, 1359, 1.0)
(1086, 1413, 4.0)
(1089, 1298, 3.0)
(1090, 1133, 3.0)
(1091, 1212, 4.0)
(1094, 1263, 3.0)
(1095, 1062, 3.0)
(1098, 1239, 3.0)
(1100, 1101, 3.0)
(3.3437195463813474, 3.0)
(4.383370016254248, 5.0)
(3.253553262650127, 1.0)
(3.1357862804909393, 3.0)
(4.53497387774096, 5.0)
(2.93782904713535, 3.0)
(3.6887390406151574, 4.0)
(4.819756365516766, 5.0)
(5.9402362106398545, 5.0)
(3.0678791421230986, 3.0)
(2.328222245110584, 2.0)
(0.6125447040119385, 3.0)
(2.3093354291776342, 1.0)
(2.8657100728398195, 3.0)
(3.587155018776176, 1.0)
(0.8088099800350049, 1.0)
(2.9347106371559604, 3.0)
(2.9347106371559604, 3.0)
(2.9347106371559604, 3.0)
(2.9347106371559604, 3.0)
(3.968046011627496, 4.0)
(4.410987849901367, 5.0)
(2.807423984720346, 3.0)
(2.9165719180031933, 3.0)
(2.514699972851809, 3.0)
(4.484278598990377, 5.0)
(4.590387421152513, 5.0)
(2.3053586171000093, 2.0)
(3.4399220778674207, 4.0)
(3.2407925361669014, 5.0)
(3.69452070310815, 4.0)
(2.6836473813137887, 2.0)
(3.0993383473963005, 3.0)
(2.082619038407702, 3.0)
(3.977841150838401, 4.0)
(5.607088854106777, 5.0)
(3.621011818032735, 4.0)
(3.85860882483506, 4.0)
(0.9785002349758773, 1.0)
(2.8228980520127696, 2.0)
(1.0193584106095464, 1.0)
(2.8319660187066216, 3.0)
(4.509195107583506, 5.0)
(4.557786942149036, 5.0)
(2.9088925139579342, 3.0)
(4.313082173993008, 5.0)
(2.6135352830622787, 3.0)
(3.5021685465760886, 4.0)
(5.340604424249928, 5.0)
(3.8260183641879166, 4.0)
(3.0910069059449943, 3.0)
(1.49669194248952, 1.0)
(5.324280100383799, 5.0)
(3.87371301692638, 4.0)
(3.043006203438615, 3.0)
(3.472938786967815, 4.0)
(2.96542384684978, 3.0)
(3.6898979418345963, 3.0)
(3.433143534927768, 4.0)
(3.1305763931223503, 1.0)
(3.6211790728037174, 3.0)
(0.9900272414805686, 1.0)
(3.6027813951689427, 4.0)
(4.683549577565377, 5.0)
(2.922275332402541, 3.0)
(4.585582352734944, 5.0)
(2.4397620063913865, 2.0)
(4.48829183641713, 5.0)
(2.6083528428284493, 1.0)
(3.7905960591268446, 4.0)
(3.241041860181663, 4.0)
(3.1835800894071458, 3.0)
(2.84577355271258, 3.0)
(2.9549982076687007, 3.0)
(2.2688288867391075, 1.0)
(3.4187447329896967, 4.0)
(3.0211332157443995, 3.0)
(0.5324502797960061, 1.0)
(0.8525361959330997, 1.0)
(4.150305623337012, 5.0)
(4.229255193205717, 5.0)
(1.2346548368344645, 1.0)
(1.665139593824892, 4.0)
(2.128651138914636, 2.0)
(2.585474671725932, 1.0)
(2.2830974620113893, 5.0)
(2.6050689926715145, 3.0)
(1.0547675397338907, 1.0)
(2.823646744793932, 1.0)
(2.2479864617840586, 3.0)
(1.0456182672297825, 1.0)
(2.2431565286152435, 5.0)
(1.0970772755443237, 1.0)
(3.3250859365116963, 1.0)
(2.7498940317479588, 3.0)
(3.408614061824408, 3.0)
(1.0408526873905006, 1.0)
(3.5795105048146754, 4.0)
(2.6438072297440605, 2.0)
(1.6201330937654348, 4.0)
(3.1305763931223503, 3.0)
(3.9080710346411225, 2.0)
(3.7393638139568193, 4.0)
(2.2830974620113893, 3.0)
(2.6022186675837427, 3.0)
(3.36279963688736, 3.0)
(2.802730617438103, 3.0)
(3.894318597103564, 4.0)
(3.7393827613955075, 4.0)
(1.2871472454309039, 3.0)
(3.0202034220640863, 3.0)
(4.258036151409062, 5.0)
(1.2890898900330447, 1.0)
(3.010078685721629, 5.0)
(2.5665059423226597, 3.0)
(2.409520809185496, 3.0)
(2.6885691978731154, 3.0)
(3.3381624701627817, 5.0)
(2.3659392617315946, 5.0)
(3.43914736367059, 4.0)
(1.098224372562812, 1.0)
(3.803968407643598, 4.0)
(4.704310296480764, 5.0)
(4.2577586519257, 5.0)
(1.740648786510804, 4.0)
(3.8889973237680366, 3.0)
(1.5582020516200605, 4.0)
(3.756477056383425, 4.0)
(3.9844293406992772, 5.0)
